刻み幅 = 0.100000
オイラーの公式
i, t, u
17, 0.850000, 2.339647
18, 0.900000, 2.459603
19, 0.950000, 2.585710
20, 1.000000, 2.718282


刻み幅 = 0.025000
オイラーの公式
i, t, u
1, 0.025000, 1.025000
2, 0.050000, 1.050625
3, 0.075000, 1.076891
4, 0.100000, 1.103813
5, 0.125000, 1.131408
6, 0.150000, 1.159693
7, 0.175000, 1.188686
8, 0.200000, 1.218403
9, 0.225000, 1.248863
10, 0.250000, 1.280085
11, 0.275000, 1.312087
12, 0.300000, 1.344889
13, 0.325000, 1.378511
14, 0.350000, 1.412974
15, 0.375000, 1.448298
16, 0.400000, 1.484506
17, 0.425000, 1.521618
18, 0.450000, 1.559659
19, 0.475000, 1.598650
20, 0.500000, 1.638616
21, 0.525000, 1.679582
22, 0.550000, 1.721571
23, 0.575000, 1.764611
24, 0.600000, 1.808726
25, 0.625000, 1.853944
26, 0.650000, 1.900293
27, 0.675000, 1.947800
28, 0.700000, 1.996495
29, 0.725000, 2.046407
30, 0.750000, 2.097568
31, 0.775000, 2.150007
32, 0.800000, 2.203757
33, 0.825000, 2.258851
34, 0.850000, 2.315322
35, 0.875000, 2.373205
36, 0.900000, 2.432535
37, 0.925000, 2.493349
38, 0.950000, 2.555682
39, 0.975000, 2.619574
40, 1.000000, 2.685064
ホイン法
i, t, u
1, 0.025000, 1.025313
2, 0.050000, 1.051266
3, 0.075000, 1.077876
4, 0.100000, 1.105160
5, 0.125000, 1.133134
6, 0.150000, 1.161816
7, 0.175000, 1.191225
8, 0.200000, 1.221378
9, 0.225000, 1.252294
10, 0.250000, 1.283993
11, 0.275000, 1.316494
12, 0.300000, 1.349817
13, 0.325000, 1.383985
14, 0.350000, 1.419017
15, 0.375000, 1.454936
16, 0.400000, 1.491764
17, 0.425000, 1.529524
18, 0.450000, 1.568240
19, 0.475000, 1.607936
20, 0.500000, 1.648637
21, 0.525000, 1.690368
22, 0.550000, 1.733156
23, 0.575000, 1.777026
24, 0.600000, 1.822007
25, 0.625000, 1.868127
26, 0.650000, 1.915414
27, 0.675000, 1.963897
28, 0.700000, 2.013609
29, 0.725000, 2.064578
30, 0.750000, 2.116838
31, 0.775000, 2.170420
32, 0.800000, 2.225359
33, 0.825000, 2.281688
34, 0.850000, 2.339444
35, 0.875000, 2.398661
36, 0.900000, 2.459377
37, 0.925000, 2.521630
38, 0.950000, 2.585459
39, 0.975000, 2.650903
40, 1.000000, 2.718004
RK法
i, t, u
1, 0.025000, 1.025315
2, 0.050000, 1.051271
3, 0.075000, 1.077884
4, 0.100000, 1.105171
5, 0.125000, 1.133148
6, 0.150000, 1.161834
7, 0.175000, 1.191246
8, 0.200000, 1.221403
9, 0.225000, 1.252323
10, 0.250000, 1.284025
11, 0.275000, 1.316531
12, 0.300000, 1.349859
13, 0.325000, 1.384031
14, 0.350000, 1.419068
15, 0.375000, 1.454991
16, 0.400000, 1.491825
17, 0.425000, 1.529590
18, 0.450000, 1.568312
19, 0.475000, 1.608014
20, 0.500000, 1.648721
21, 0.525000, 1.690459
22, 0.550000, 1.733253
23, 0.575000, 1.777131
24, 0.600000, 1.822119
25, 0.625000, 1.868246
26, 0.650000, 1.915541
27, 0.675000, 1.964033
28, 0.700000, 2.013753
29, 0.725000, 2.064731
30, 0.750000, 2.117000
31, 0.775000, 2.170592
32, 0.800000, 2.225541
33, 0.825000, 2.281881
34, 0.850000, 2.339647
35, 0.875000, 2.398875
36, 0.900000, 2.459603
37, 0.925000, 2.521868
38, 0.950000, 2.585710
39, 0.975000, 2.651167
40, 1.000000, 2.718282
